Id_habitaciones,Habitaciones,Baños,Puntuacion,Antiguedad,Piso N°,Precio,Área construída (m²),Área privada (m²),Precio_MC,precio_dolar
1,1,2,4,1-8,3,250000000,62,62,4032258.06,62500.0
2,1,2,6,9-15,SinDato,675000000,105,0,6428571.43,168750.0
4,1,1,5,SinDato,3,235000000,50,0,4700000.0,58750.0
5,1,1,4,SinDato,SinDato,198000000,32,0,6187500.0,49500.0
7,2,2,6,-1,Otro,475000000,64,64,7421875.0,118750.0
10,4,5,6,1-8,15,1060000000,172,172,6162790.7,265000.0
11,3,2,5,9-15,2,420000000,"125,97 ",115,3334127.17,105000.0
12,2,2,3,9-15,5,265000000,55,55,4818181.82,66250.0
13,3,3,4,9-15,1,360000000,"80,23 ","80,23 ",4487099.59,90000.0
15,2,2,6,1-8,Otro,340000000,70,0,4857142.86,85000.0
16,3,2,5,9-15,2,355000000,78,0,4551282.05,88750.0
18,3,3,6,SinDato,SinDato,840000000,130,130,6461538.46,210000.0
19,3,2,5,16-30,4,270000000,73,0,3698630.14,67500.0
21,2,2,4,SinDato,SinDato,320000000,60,0,5333333.33,80000.0
22,3,3,4,16-30,7,275000000,86,86,3197674.42,68750.0
24,2,2,4,16-30,11,200000000,49,0,4081632.65,50000.0
25,3,2,5,1-8,Otro,590000000,"86,78 ",87,6798801.57,147500.0
27,5,5,4,+30,Otro,650000000,297,297,2188552.19,162500.0
30,3,2,5,1-8,Otro,638000000,110,0,5800000.0,159500.0
31,3,3,5,9-15,SinDato,395000000,84,84,4702380.95,98750.0
33,4,5,6,9-15,7,1100000000,257,257,4280155.64,275000.0
34,1,1,5,1-8,9,180000000,30,30,6000000.0,45000.0
36,3,4,5,+30,3,980000000,235,235,4170212.77,245000.0
37,3,5,6,9-15,Otro,1850000000,250,250,7400000.0,462500.0
38,3,2,3,1-8,SinDato,210000000,50,0,4200000.0,52500.0
39,2,2,4,16-30,Otro,265000000,54,0,4907407.41,66250.0
40,4,3,4,16-30,4,298000000,86,86,3465116.28,74500.0
41,3,2,5,1-8,Otro,350000000,75,75,4666666.67,87500.0
42,2,2,6,SinDato,SinDato,460000000,74,0,6216216.22,115000.0
44,1,2,4,1-8,3,250000000,62,62,4032258.06,62500.0
45,1,2,6,9-15,SinDato,675000000,105,0,6428571.43,168750.0
47,1,1,5,SinDato,3,235000000,50,0,4700000.0,58750.0
48,1,1,4,SinDato,SinDato,198000000,32,0,6187500.0,49500.0
50,3,2,5,1-8,Otro,590000000,"86,78 ",87,6798801.57,147500.0
53,3,2,3,1-8,SinDato,210000000,50,0,4200000.0,52500.0
54,3,3,4,9-15,1,360000000,"80,23 ","80,23 ",4487099.59,90000.0
55,4,3,4,16-30,4,298000000,86,86,3465116.28,74500.0
56,5,5,4,+30,Otro,650000000,297,297,2188552.19,162500.0
58,2,2,6,1-8,Otro,340000000,70,0,4857142.86,85000.0
59,4,5,6,9-15,7,1100000000,257,257,4280155.64,275000.0
61,2,2,4,16-30,11,200000000,49,0,4081632.65,50000.0
62,2,2,6,-1,Otro,475000000,64,64,7421875.0,118750.0
64,3,3,6,SinDato,SinDato,840000000,130,130,6461538.46,210000.0
65,3,2,5,9-15,2,355000000,78,0,4551282.05,88750.0
67,3,2,5,16-30,4,270000000,73,0,3698630.14,67500.0
