Unnamed: 0,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
0,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
1,1.0,2.0,4.0,1 a 8 años,3,SinDato,"$ 4.032.258,06*m²",SinDato,SinDato,SinDato,250000000,62,62
2,1.0,2.0,6.0,9 a 15 años,SinDato,SinDato,"$ 6.428.571,43*m²",2.0,SinDato,SinDato,675000000,105,0
3,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
4,1.0,1.0,5.0,SinDato,3,$ 167.000 COP,$ 4.700.000*m²,2.0,SinDato,SinDato,235000000,50,0
5,1.0,1.0,4.0,SinDato,SinDato,SinDato,$ 6.187.500*m²,1.0,Excelente,SinDato,198000000,32,0
6,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
7,2.0,2.0,6.0,menor a 1 año,Otro,$ 180.000 COP,$ 7.421.875*m²,1.0,Excelente,SinDato,475000000,64,64
8,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
9,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
10,4.0,5.0,6.0,1 a 8 años,15,$ 650.000 COP,"$ 6.162.790,7*m²",2.0,Excelente,SinDato,1060000000,172,172
11,3.0,2.0,5.0,9 a 15 años,2,SinDato,"$ 3.334.127,17*m²",SinDato,Bueno,SinDato,420000000,"125,97 ",115
12,2.0,2.0,3.0,9 a 15 años,5,$ 40.000 COP,"$ 4.818.181,82*m²",1.0,Excelente,Duplex,265000000,55,55
13,3.0,3.0,4.0,9 a 15 años,1,$ 244.000 COP,"$ 4.487.099,59*m²",1.0,Excelente,Duplex,360000000,"80,23 ","80,23 "
14,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
15,2.0,2.0,6.0,1 a 8 años,Otro,SinDato,"$ 4.857.142,86*m²",1.0,SinDato,SinDato,340000000,70,0
16,3.0,2.0,5.0,9 a 15 años,2,$ 60.000 COP,"$ 4.551.282,05*m²",1.0,SinDato,SinDato,355000000,78,0
